ticker,name,industry,market_cap,market_cap_num,symbol_url
CURV,Torrid Holdings Inc.,Apparel Retail,123.96M,123960000,/stocks/curv/
CUZ,Cousins Properties Incorporated,REIT - Office,4.36B,4360000000,/stocks/cuz/
CV,"CapsoVision, Inc.",Medical Devices,228.26M,228260000,/stocks/cv/
CVAC,CureVac N.V.,Biotechnology,1.20B,1200000000,/stocks/cvac/
CVBF,CVB Financial Corp.,Banks - Regional,2.53B,2530000000,/stocks/cvbf/
CVCO,"Cavco Industries, Inc.",Residential Construction,4.14B,4139999999,/stocks/cvco/
CVE,Cenovus Energy Inc.,Oil & Gas Integrated,29.62B,29620000000,/stocks/cve/
CVEO,Civeo Corporation,Lodging,260.83M,260829999,/stocks/cveo/
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,52.78M,52780000,/stocks/cvgi/
CVGW,"Calavo Growers, Inc.",Food Distribution,396.52M,396520000,/stocks/cvgw/
CVI,"CVR Energy, Inc.",Oil & Gas Refining & Marketing,3.58B,3580000000,/stocks/cvi/
CVKD,"Cadrenal Therapeutics, Inc.",Biotechnology,27.97M,27970000,/stocks/cvkd/
CVLG,"Covenant Logistics Group, Inc.",Trucking,504.65M,504650000,/stocks/cvlg/
CVLT,"Commvault Systems, Inc.",Software - Application,6.14B,6140000000,/stocks/cvlt/
CVM,CEL-SCI Corporation,Biotechnology,56.67M,56670000,/stocks/cvm/
CVNA,Carvana Co.,Auto & Truck Dealerships,67.14B,67140000000,/stocks/cvna/
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,8.94M,8940000,/stocks/cvr/
CVRX,"CVRx, Inc.",Medical Devices,266.49M,266490000,/stocks/cvrx/
CVS,CVS Health Corporation,Healthcare Plans,99.21B,99210000000,/stocks/cvs/
CVU,"CPI Aerostructures, Inc.",Aerospace & Defense,32.45M,32450000,/stocks/cvu/
CVV,CVD Equipment Corporation,Specialty Industrial Machinery,26.91M,26910000,/stocks/cvv/
CVX,Chevron Corporation,Oil & Gas Integrated,320.05B,320050000000,/stocks/cvx/
CW,Curtiss-Wright Corporation,Aerospace & Defense,22.45B,22450000000,/stocks/cw/
CWAN,"Clearwater Analytics Holdings, Inc.",Software - Application,5.38B,5380000000,/stocks/cwan/
CWBC,Community West Bancshares,Banks - Regional,405.36M,405360000,/stocks/cwbc/
CWCO,Consolidated Water Co. Ltd.,Utilities - Regulated Water,541.67M,541670000,/stocks/cwco/
CWD,CaliberCos Inc.,Asset Management,14.41M,14410000,/stocks/cwd/
CWEN,"Clearway Energy, Inc.",Utilities - Renewable,3.70B,3700000000,/stocks/cwen/
CWEN.A,"Clearway Energy, Inc.",Utilities - Renewable,6.06B,6060000000,/stocks/cwen.a/
CWH,"Camping World Holdings, Inc.",Auto & Truck Dealerships,1.35B,1350000000,/stocks/cwh/
CWK,Cushman & Wakefield plc,Real Estate Services,3.64B,3640000000,/stocks/cwk/
CWST,"Casella Waste Systems, Inc.",Waste Management,5.62B,5620000000,/stocks/cwst/
CWT,California Water Service Group,Utilities - Regulated Water,2.64B,2640000000,/stocks/cwt/
CX,"CEMEX, S.A.B. de C.V.",Building Materials,14.74B,14740000000,/stocks/cx/
CXAI,CXApp Inc.,Software - Application,17.00M,17000000,/stocks/cxai/
CXDO,"Crexendo, Inc.",Telecommunications Services,198.64M,198640000,/stocks/cxdo/
CXM,"Sprinklr, Inc.",Software - Application,1.88B,1880000000,/stocks/cxm/
CXT,"Crane NXT, Co.",Industrial - Machinery,3.63B,3630000000,/stocks/cxt/
CXW,"CoreCivic, Inc.",Security & Protection Services,1.98B,1980000000,/stocks/cxw/
CYBN,Cybin Inc.,Biotechnology,182.94M,182940000,/stocks/cybn/
CYBR,CyberArk Software Ltd.,Software - Infrastructure,26.29B,26290000000,/stocks/cybr/
CYCN,"Cyclerion Therapeutics, Inc.",Biotechnology,5.99M,5990000,/stocks/cycn/
CYCU,"Cycurion, Inc.",Information Technology Services,7.78M,7780000,/stocks/cycu/
CYD,China Yuchai International Limited,Auto Manufacturers,1.39B,1390000000,/stocks/cyd/
CYH,"Community Health Systems, Inc.",Medical Care Facilities,512.89M,512890000,/stocks/cyh/
CYN,Cyngn Inc.,Software - Application,33.51M,33509999,/stocks/cyn/
CYRX,"Cryoport, Inc.",Integrated Freight & Logistics,462.62M,462620000,/stocks/cyrx/
CYTK,"Cytokinetics, Incorporated",Biotechnology,7.61B,7610000000,/stocks/cytk/
CZFS,"Citizens Financial Services, Inc.",Banks - Regional,263.39M,263390000,/stocks/czfs/
